epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,325.468,1.08864,1.64437,1.59268,1.32242,0.88675,0.53164,0.5584,0.37156,0.88675,0.53164,0.55362,0.32214,0.99371,2.15929,1.88328,1.20956,0.000848969,0.000848969,0.000848969
43,333.92,0.94439,1.46405,1.45231,1.19223,0.88675,0.53164,0.5584,0.37156,0.88675,0.53164,0.55362,0.32214,0.99371,2.15929,1.88328,1.20956,0.000834822,0.000834822,0.000834822
44,341.614,1.05138,1.68745,1.52989,1.29285,0.88675,0.53164,0.5584,0.37156,0.88675,0.53164,0.55362,0.32214,0.99371,2.15929,1.88328,1.20956,0.000820675,0.000820675,0.000820675
45,349.403,1.00019,1.62524,1.4608,1.26769,0.85998,0.52778,0.5789,0.40593,0.85998,0.52778,0.5789,0.34867,0.84174,2.12947,1.92542,1.07946,0.000806528,0.000806528,0.000806528
46,357.096,0.96617,1.67994,1.46989,1.25171,0.85998,0.52778,0.5789,0.40593,0.85998,0.52778,0.5789,0.34867,0.84174,2.12947,1.92542,1.07946,0.00079238,0.00079238,0.00079238
47,364.906,1.03207,1.72434,1.42041,1.25945,0.84459,0.50044,0.54305,0.39307,0.79062,0.44589,0.46833,0.33525,0.84122,2.1215,1.9645,1.09037,0.000778233,0.000778233,0.000778233
48,372.684,1.05588,1.75638,1.52004,1.31096,0.84459,0.50044,0.54305,0.39307,0.79062,0.44589,0.46833,0.33525,0.84122,2.1215,1.9645,1.09037,0.000764086,0.000764086,0.000764086
49,380.645,0.97702,1.55182,1.46896,1.23935,0.84981,0.48611,0.53885,0.36912,0.79626,0.43056,0.48577,0.32176,1.01487,2.52163,1.97747,1.16404,0.000749939,0.000749939,0.000749939
50,388.336,0.87086,1.46217,1.29534,1.11765,0.84981,0.48611,0.53885,0.36912,0.79626,0.43056,0.48577,0.32176,1.01487,2.52163,1.97747,1.16404,0.000735792,0.000735792,0.000735792
51,395.971,0.90511,1.46133,1.33589,1.18623,0.84981,0.48611,0.53885,0.36912,0.79626,0.43056,0.48577,0.32176,1.01487,2.52163,1.97747,1.16404,0.000721645,0.000721645,0.000721645
52,403.632,0.90825,1.5147,1.3038,1.17044,0.82548,0.54861,0.57177,0.37355,0.77684,0.49306,0.48118,0.31434,1.0121,2.39937,1.73484,1.13512,0.000707498,0.000707498,0.000707498
53,411.378,0.93242,1.56145,1.32732,1.17283,0.82548,0.54861,0.57177,0.37355,0.77684,0.49306,0.48118,0.31434,1.0121,2.39937,1.73484,1.13512,0.000693351,0.000693351,0.000693351
54,418.915,0.86486,1.43215,1.30076,1.17068,0.89895,0.51442,0.60514,0.40699,0.8384,0.4601,0.49996,0.35058,0.8411,2.04247,1.46865,1.06661,0.000679204,0.000679204,0.000679204
55,426.583,0.89412,1.65704,1.39229,1.19837,0.89895,0.51442,0.60514,0.40699,0.8384,0.4601,0.49996,0.35058,0.8411,2.04247,1.46865,1.06661,0.000665057,0.000665057,0.000665057
56,434.217,0.95838,1.7558,1.42089,1.2893,0.94713,0.54861,0.61352,0.4409,0.8837,0.49306,0.5493,0.37227,0.79027,1.90688,1.38398,1.0543,0.000650909,0.000650909,0.000650909
57,441.882,0.822,1.6297,1.35531,1.12414,0.94713,0.54861,0.61352,0.4409,0.8837,0.49306,0.5493,0.37227,0.79027,1.90688,1.38398,1.0543,0.000636762,0.000636762,0.000636762
58,449.514,0.90932,1.53159,1.25258,1.14077,0.92791,0.54861,0.60866,0.42673,0.86398,0.49306,0.54027,0.35988,0.81331,1.9732,1.34573,1.0735,0.000622615,0.000622615,0.000622615
59,457.448,0.93533,1.52187,1.2325,1.19367,0.92791,0.54861,0.60866,0.42673,0.86398,0.49306,0.54027,0.35988,0.81331,1.9732,1.34573,1.0735,0.000608468,0.000608468,0.000608468
60,465.637,0.91129,1.42806,1.3313,1.21651,0.92791,0.54861,0.60866,0.42673,0.86398,0.49306,0.54027,0.35988,0.81331,1.9732,1.34573,1.0735,0.000594321,0.000594321,0.000594321
61,473.56,0.76558,1.29281,1.22612,1.11415,0.866,0.54861,0.59247,0.43063,0.8195,0.49306,0.53502,0.36052,0.87745,2.11276,1.38902,1.10074,0.000580174,0.000580174,0.000580174
